grievance_text,category,priority
The public entrance is not accessible to people with mobility difficulties. People in the locality are requesting a solution.,DISABILITY_ACCESS,MEDIUM
Traffic movement is slow because of congestion at the junction. The issue has been reported by local residents.,TRAFFIC,HIGH
The health centre lacks essential patient services. Please arrange the necessary civic action.,HEALTHCARE,HIGH
People are concerned about personal safety in the isolated public space. Residents have requested prompt action.,PUBLIC_SAFETY,CRITICAL
The park's recreational facilities are damaged. The issue has been reported by local residents.,PARKS,LOW
The public garden needs regular maintenance. Residents have requested prompt action.,PARKS,MEDIUM
Residents are concerned about worsening air quality. People in the locality are requesting a solution.,ENVIRONMENT,MEDIUM
Passengers need more frequent buses on the public transport route. The issue has been reported by local residents.,PUBLIC_TRANSPORT,MEDIUM
Peak hour traffic is causing long delays at the junction. People in the locality are requesting a solution.,TRAFFIC,HIGH
Waste collection is irregular in our neighborhood. People in the locality are requesting a solution.,WASTE,MEDIUM
Water pressure is very low on our residential street. Residents have requested prompt action.,WATER,MEDIUM
Please review this general civic request and direct it to the appropriate office. Please arrange the necessary civic action.,OTHER,LOW
A large number of stray animals are gathering near the houses. People in the locality are requesting a solution.,ANIMAL_CONTROL,MEDIUM
Students do not have adequate facilities in the public school. The issue has been reported by local residents.,EDUCATION,LOW
The stormwater drain needs urgent cleaning. Please arrange the necessary civic action.,DRAINAGE,HIGH
Families are not receiving their scheduled water supply. Residents have requested prompt action.,WATER,HIGH
The street light near our house is not working at night.,STREETLIGHT,MEDIUM
Trash is accumulating at the designated collection point.,WASTE,LOW
The local water connection needs urgent attention. Please arrange the necessary civic action.,WATER,MEDIUM
Environmental pollution is affecting the community. The issue has been reported by local residents.,ENVIRONMENT,HIGH
Wastewater is backing up because the drain is blocked. Residents have requested prompt action.,DRAINAGE,HIGH
The residential apartment has a leaking roof and damaged walls. People in the locality are requesting a solution.,HOUSING,HIGH
Residents are requesting improvements to the neighborhood park. Please arrange the necessary civic action.,PARKS,MEDIUM
The local power supply needs urgent attention. People in the locality are requesting a solution.,ELECTRICITY,MEDIUM
The park benches and recreational facilities are damaged. People in the locality are requesting a solution.,PARKS,LOW
The housing block requires structural repairs and safer accommodation.,HOUSING,HIGH
I would like to submit a general civic complaint for official review. Residents have requested prompt action.,OTHER,LOW
A damaged road surface is causing problems for motorists in our area. Please arrange the necessary civic action.,ROAD,MEDIUM
The public toilet has broken sanitation facilities.,PUBLIC_TOILETS,LOW
Household waste is piling up near the residential area. Residents have requested prompt action.,WASTE,LOW
The public premises do not provide proper accessibility facilities. Please arrange the necessary civic action.,DISABILITY_ACCESS,HIGH
Residents are facing a shortage of municipal water. The issue has been reported by local residents.,WATER,HIGH
The electricity supply keeps fluctuating in our locality. Residents have requested prompt action.,ELECTRICITY,MEDIUM
The government clinic does not have enough doctors for patients.,HEALTHCARE,HIGH
Residents feel unsafe in the public area because there is no security.,PUBLIC_SAFETY,HIGH
The tap water service is unreliable in our neighborhood. People in the locality are requesting a solution.,WATER,MEDIUM
Residents need assistance with aggressive stray animals. Residents have requested prompt action.,ANIMAL_CONTROL,HIGH
People are dumping waste into the lake and polluting the water body. Residents have requested prompt action.,ENVIRONMENT,MEDIUM
The streetlight pole near the junction is not illuminated.,STREETLIGHT,LOW
The health centre lacks essential patient services. Please arrange the necessary civic action.,HEALTHCARE,HIGH
Residents would like help with an issue not covered by the listed services. People in the locality are requesting a solution.,OTHER,LOW
The intersection needs better traffic management. The issue has been reported by local residents.,TRAFFIC,MEDIUM
The local government hospital needs additional medical staff. People in the locality are requesting a solution.,HEALTHCARE,HIGH
Residents are requesting improvements to the neighborhood park. Please arrange the necessary civic action.,PARKS,MEDIUM
Trash is accumulating at the designated collection point.,WASTE,LOW
The children's playground in the park needs repairs. Residents have requested prompt action.,PARKS,LOW
The playground equipment in the public park is unsafe. Please arrange the necessary civic action.,PARKS,LOW
The public toilet has broken sanitation facilities.,PUBLIC_TOILETS,LOW
A damaged road surface is causing problems for motorists in our area. Please arrange the necessary civic action.,ROAD,MEDIUM
A disabled-access entrance is missing at the government office. People in the locality are requesting a solution.,DISABILITY_ACCESS,HIGH
Residents would like help with an issue not covered by the listed services. People in the locality are requesting a solution.,OTHER,LOW
Residents are experiencing repeated power failures. The issue has been reported by local residents.,ELECTRICITY,HIGH
Water pressure is very low on our residential street. Residents have requested prompt action.,WATER,MEDIUM
Residents are concerned about animals roaming around the neighborhood. Please arrange the necessary civic action.,ANIMAL_CONTROL,MEDIUM
Students do not have adequate facilities in the public school. Residents have requested prompt action.,EDUCATION,LOW
Our neighborhood needs help with an unspecified municipal concern.,OTHER,MEDIUM
The drain is blocked and dirty water is overflowing.,DRAINAGE,HIGH
The street light near our house is not working at night.,STREETLIGHT,MEDIUM
The public water supply has stopped since yesterday.,WATER,MEDIUM
The community restroom needs regular cleaning and maintenance. Residents have requested prompt action.,PUBLIC_TOILETS,MEDIUM
The community toilet requires cleaning and regular maintenance. Residents have requested prompt action.,PUBLIC_TOILETS,LOW
The road needs resurfacing because the asphalt has worn away.,ROAD,HIGH
A section of the roadway has developed large potholes. People in the locality are requesting a solution.,ROAD,HIGH
The pavement on our street has broken sections that need repair. The issue has been reported by local residents.,ROAD,HIGH
A blocked drainage pipe is causing flooding near homes. The issue has been reported by local residents.,DRAINAGE,HIGH
There is inadequate bus service between our neighborhood and the town. People in the locality are requesting a solution.,PUBLIC_TRANSPORT,MEDIUM
The tap water service is unreliable in our neighborhood. People in the locality are requesting a solution.,WATER,MEDIUM
Families are waiting for affordable public housing assistance. The issue has been reported by local residents.,HOUSING,CRITICAL
This is a general local complaint that needs to be directed to the correct department. People in the locality are requesting a solution.,OTHER,MEDIUM
There has been no drinking water supply in our neighborhood.,WATER,HIGH
My application at the government office has been pending for weeks.,GOVERNMENT_SERVICES,MEDIUM
The local area needs assistance with animal control. Please arrange the necessary civic action.,ANIMAL_CONTROL,HIGH
The government health facility is short of medical staff. People in the locality are requesting a solution.,HEALTHCARE,CRITICAL
Wastewater is backing up because the drain is blocked. Residents have requested prompt action.,DRAINAGE,HIGH
Teachers and students need better facilities for classroom learning.,EDUCATION,MEDIUM
Commuters are struggling because the scheduled bus service is unreliable.,PUBLIC_TRANSPORT,HIGH
The classroom infrastructure at the school requires maintenance.,EDUCATION,MEDIUM
The government health facility is short of medical staff. People in the locality are requesting a solution.,HEALTHCARE,CRITICAL
The main street has damaged asphalt and requires road maintenance. The issue has been reported by local residents.,ROAD,MEDIUM
The drain is blocked and dirty water is overflowing.,DRAINAGE,HIGH
The classroom infrastructure at the school requires maintenance. People in the locality are requesting a solution.,EDUCATION,MEDIUM
Students do not have adequate facilities in the public school. The issue has been reported by local residents.,EDUCATION,LOW
Residents are facing delays in treatment at the public hospital. The issue has been reported by local residents.,HEALTHCARE,HIGH
Students are requesting repairs to school classrooms and educational facilities. Please arrange the necessary civic action.,EDUCATION,LOW
The government department has delayed processing my application. The issue has been reported by local residents.,GOVERNMENT_SERVICES,LOW
The health centre lacks essential patient services. Please arrange the necessary civic action.,HEALTHCARE,HIGH
The toilet facility in the market area is poorly maintained. The issue has been reported by local residents.,PUBLIC_TOILETS,MEDIUM
Residents are experiencing repeated power failures. The issue has been reported by local residents.,ELECTRICITY,HIGH
Household rubbish is being left uncollected in our locality. The issue has been reported by local residents.,WASTE,MEDIUM
Residents are facing problems with their government housing accommodation. Residents have requested prompt action.,HOUSING,CRITICAL
I need assistance with a local civic matter that does not match the available categories.,OTHER,LOW
The government department has delayed processing my application. The issue has been reported by local residents.,GOVERNMENT_SERVICES,LOW
The local park has broken children's play equipment.,PARKS,LOW
Residents are facing a shortage of municipal water. The issue has been reported by local residents.,WATER,HIGH
The residential housing complex requires repairs to its units.,HOUSING,HIGH
Patients at the public health centre are waiting for hours. Residents have requested prompt action.,HEALTHCARE,CRITICAL
Multiple street lamps have stopped working after dark. Residents have requested prompt action.,STREETLIGHT,MEDIUM
An accessible pathway is needed at the public service building. The issue has been reported by local residents.,DISABILITY_ACCESS,HIGH
People are dumping waste into the lake and polluting the water body. Residents have requested prompt action.,ENVIRONMENT,MEDIUM
The neighborhood park requires landscaping and repairs. The issue has been reported by local residents.,PARKS,MEDIUM
I am unable to get a response about my government service request. People in the locality are requesting a solution.,GOVERNMENT_SERVICES,MEDIUM
I would like to submit a general civic complaint for official review. Residents have requested prompt action.,OTHER,LOW
Trash is accumulating at the designated collection point.,WASTE,LOW
Students are requesting repairs to school classrooms and educational facilities. People in the locality are requesting a solution.,EDUCATION,LOW
Several families are living in unsafe residential buildings. Please arrange the necessary civic action.,HOUSING,HIGH
The neighborhood park requires landscaping and repairs. The issue has been reported by local residents.,PARKS,MEDIUM
The local bus service is insufficient for daily commuters. People in the locality are requesting a solution.,PUBLIC_TRANSPORT,HIGH
Patients at the public health centre are waiting for hours. Residents have requested prompt action.,HEALTHCARE,CRITICAL
The local government hospital needs additional medical staff. People in the locality are requesting a solution.,HEALTHCARE,HIGH
The public garden needs regular maintenance. Residents have requested prompt action.,PARKS,MEDIUM
Environmental pollution is affecting the community. The issue has been reported by local residents.,ENVIRONMENT,HIGH
Waste bins are overflowing because collection has not occurred. People in the locality are requesting a solution.,WASTE,LOW
The college campus needs better facilities for students.,EDUCATION,MEDIUM
Residents are facing a shortage of municipal water. The issue has been reported by local residents.,WATER,HIGH
People are concerned about personal safety in the isolated public space. Residents have requested prompt action.,PUBLIC_SAFETY,CRITICAL
The public lamp outside our building has been out for many nights. Please arrange the necessary civic action.,STREETLIGHT,MEDIUM
This is a general local complaint that needs to be directed to the correct department. People in the locality are requesting a solution.,OTHER,MEDIUM
The bus route needs more frequent services for commuters. The issue has been reported by local residents.,PUBLIC_TRANSPORT,HIGH
Residents need assistance with aggressive stray animals. Residents have requested prompt action.,ANIMAL_CONTROL,HIGH
Residents are facing problems with their government housing accommodation. People in the locality are requesting a solution.,HOUSING,CRITICAL
The public water supply has stopped since yesterday.,WATER,MEDIUM
Residents are receiving poor quality tap water. The issue has been reported by local residents.,WATER,MEDIUM
The community needs improved security and protection in the public area. Please arrange the necessary civic action.,PUBLIC_SAFETY,HIGH
The local clinic needs better healthcare services for patients. Please arrange the necessary civic action.,HEALTHCARE,CRITICAL
A clogged drain is causing water to collect on the street. The issue has been reported by local residents.,DRAINAGE,MEDIUM
The park benches and recreational facilities are damaged. People in the locality are requesting a solution.,PARKS,LOW
The community toilet requires cleaning and regular maintenance. Residents have requested prompt action.,PUBLIC_TOILETS,LOW
I need assistance with a local civic matter that does not match the available categories.,OTHER,LOW
Residents are concerned about worsening air quality. People in the locality are requesting a solution.,ENVIRONMENT,MEDIUM
Students are requesting repairs to school classrooms and educational facilities. Residents have requested prompt action.,EDUCATION,LOW
Families are not receiving their scheduled water supply. Residents have requested prompt action.,WATER,HIGH
There is a municipal issue in my area that requires attention. Residents have requested prompt action.,OTHER,MEDIUM
Passengers have to wait a long time for the public bus. Residents have requested prompt action.,PUBLIC_TRANSPORT,HIGH
There is no wheelchair ramp at the entrance of the public building.,DISABILITY_ACCESS,HIGH
Residents are facing problems with their government housing accommodation. Please arrange the necessary civic action.,HOUSING,CRITICAL
A clogged drain is causing water to collect on the street. The issue has been reported by local residents.,DRAINAGE,MEDIUM
The government service counter has not resolved my request. Please arrange the necessary civic action.,GOVERNMENT_SERVICES,LOW
Residents need a properly maintained public restroom. Please arrange the necessary civic action.,PUBLIC_TOILETS,MEDIUM
Patients are unable to receive timely medical care at the clinic. Residents have requested prompt action.,HEALTHCARE,HIGH
The voltage supply is unstable in our area. The issue has been reported by local residents.,ELECTRICITY,MEDIUM
Water pressure is very low on our residential street. Residents have requested prompt action.,WATER,MEDIUM
The public lamp outside our building has been out for many nights. Please arrange the necessary civic action.,STREETLIGHT,MEDIUM
Household waste is piling up near the residential area. Residents have requested prompt action.,WASTE,LOW
The drainage channel is blocked with silt and debris.,DRAINAGE,MEDIUM
The public toilet near the market is dirty and poorly maintained.,PUBLIC_TOILETS,MEDIUM
The local bus service is insufficient for daily commuters. People in the locality are requesting a solution.,PUBLIC_TRANSPORT,HIGH
The drainage channel is blocked with silt and debris.,DRAINAGE,MEDIUM
Wastewater is backing up because the drain is blocked. Residents have requested prompt action.,DRAINAGE,HIGH
The school laboratory and library require educational infrastructure improvements.,EDUCATION,LOW
People are concerned about personal safety in the isolated public space. Residents have requested prompt action.,PUBLIC_SAFETY,CRITICAL
My public service request has not received an official response. Residents have requested prompt action.,GOVERNMENT_SERVICES,MEDIUM
Electricity service is unreliable on our street. Residents have requested prompt action.,ELECTRICITY,HIGH
Vehicles are getting stuck in a traffic jam near the intersection. Residents have requested prompt action.,TRAFFIC,MEDIUM
Rainwater is accumulating because the drainage channel is blocked. Residents have requested prompt action.,DRAINAGE,MEDIUM
Residents are facing a delay in garbage pickup. Residents have requested prompt action.,WASTE,MEDIUM
The park's recreational facilities are damaged. The issue has been reported by local residents.,PARKS,LOW
The public area has a security problem that needs immediate attention. Residents have requested prompt action.,PUBLIC_SAFETY,HIGH
Patients are unable to receive timely medical care at the clinic. Residents have requested prompt action.,HEALTHCARE,HIGH
The local park has broken children's play equipment.,PARKS,LOW
Our area needs additional city buses during peak hours. Residents have requested prompt action.,PUBLIC_TRANSPORT,MEDIUM
A blocked drainage pipe is causing flooding near homes. The issue has been reported by local residents.,DRAINAGE,HIGH
Vehicles are facing severe congestion at the busy intersection. Residents have requested prompt action.,TRAFFIC,HIGH
Our area is facing an interruption in the water connection. Please arrange the necessary civic action.,WATER,HIGH
An accessible pathway is needed at the public service building. The issue has been reported by local residents.,DISABILITY_ACCESS,HIGH
Residents are facing a delay in garbage pickup. Residents have requested prompt action.,WASTE,MEDIUM
The lighting on our street is not functioning at night. People in the locality are requesting a solution.,STREETLIGHT,LOW
The building needs accessible pathways for people with disabilities. The issue has been reported by local residents.,DISABILITY_ACCESS,MEDIUM
Uncollected garbage is creating an unpleasant smell. The issue has been reported by local residents.,WASTE,LOW
The local bus service is insufficient for daily commuters. People in the locality are requesting a solution.,PUBLIC_TRANSPORT,HIGH
The government health facility is short of medical staff. People in the locality are requesting a solution.,HEALTHCARE,CRITICAL
The bus route needs more frequent services for commuters. The issue has been reported by local residents.,PUBLIC_TRANSPORT,HIGH
Families need support for safe and affordable accommodation.,HOUSING,CRITICAL
Vehicles are getting stuck in a traffic jam near the intersection. Residents have requested prompt action.,TRAFFIC,MEDIUM
The government school needs repairs to its classrooms and learning facilities. People in the locality are requesting a solution.,EDUCATION,MEDIUM
A broken lamp post is leaving the street without lighting. The issue has been reported by local residents.,STREETLIGHT,MEDIUM
Traffic movement is slow because of congestion at the junction. The issue has been reported by local residents.,TRAFFIC,HIGH
The health centre lacks essential patient services. Please arrange the necessary civic action.,HEALTHCARE,HIGH
Large potholes are making the road difficult for vehicles to use.,ROAD,MEDIUM
Air pollution in the locality is becoming a serious concern. People in the locality are requesting a solution.,ENVIRONMENT,HIGH
The pavement on our street has broken sections that need repair. The issue has been reported by local residents.,ROAD,HIGH
The facility requires better disability access arrangements. Please arrange the necessary civic action.,DISABILITY_ACCESS,MEDIUM
The government service counter has not resolved my request. Please arrange the necessary civic action.,GOVERNMENT_SERVICES,LOW
Residents are requesting better sanitation at the public restroom. Please arrange the necessary civic action.,PUBLIC_TOILETS,LOW
There has been no drinking water supply in our neighborhood.,WATER,HIGH
The public office has not provided an update on my application. Residents have requested prompt action.,GOVERNMENT_SERVICES,LOW
Smoke pollution is affecting the environment in our locality.,ENVIRONMENT,MEDIUM
Waste bins are overflowing because collection has not occurred. People in the locality are requesting a solution.,WASTE,LOW
Our area needs additional city buses during peak hours. Residents have requested prompt action.,PUBLIC_TRANSPORT,MEDIUM
Families are waiting for affordable public housing assistance. People in the locality are requesting a solution.,HOUSING,CRITICAL
The traffic signal area experiences long queues during peak hours. People in the locality are requesting a solution.,TRAFFIC,MEDIUM
The electricity supply keeps fluctuating in our locality. Residents have requested prompt action.,ELECTRICITY,MEDIUM
The drainage line is overflowing near the houses. People in the locality are requesting a solution.,DRAINAGE,HIGH
Vehicles are facing severe congestion at the busy intersection. Residents have requested prompt action.,TRAFFIC,HIGH
The government school needs repairs to its classrooms and learning facilities. Please arrange the necessary civic action.,EDUCATION,MEDIUM
The tap water service is unreliable in our neighborhood. People in the locality are requesting a solution.,WATER,MEDIUM
Traffic movement is slow because of congestion at the junction. The issue has been reported by local residents.,TRAFFIC,HIGH
People feel unsafe because the public location is poorly monitored. The issue has been reported by local residents.,PUBLIC_SAFETY,HIGH
Wheelchair users cannot enter the public facility because there is no ramp.,DISABILITY_ACCESS,MEDIUM
Families need support for safe and affordable accommodation. Please arrange the necessary civic action.,HOUSING,CRITICAL
Deep cracks have appeared across the roadway and need resurfacing. People in the locality are requesting a solution.,ROAD,MEDIUM
A disabled-access entrance is missing at the government office. People in the locality are requesting a solution.,DISABILITY_ACCESS,HIGH
An accessible pathway is needed at the public service building. The issue has been reported by local residents.,DISABILITY_ACCESS,HIGH
An accessible pathway is needed at the public service building. The issue has been reported by local residents.,DISABILITY_ACCESS,HIGH
Residents feel unsafe in the public area because there is no security.,PUBLIC_SAFETY,HIGH
Smoke pollution is affecting the environment in our locality.,ENVIRONMENT,MEDIUM
The government building needs accessibility features for people with disabilities. Residents have requested prompt action.,DISABILITY_ACCESS,HIGH
Several lamp posts on the street have stopped functioning. Residents have requested prompt action.,STREETLIGHT,LOW
The public premises do not provide proper accessibility facilities. Please arrange the necessary civic action.,DISABILITY_ACCESS,HIGH
Our area needs additional city buses during peak hours. Residents have requested prompt action.,PUBLIC_TRANSPORT,MEDIUM
The tap water service is unreliable in our neighborhood. People in the locality are requesting a solution.,WATER,MEDIUM
Rainwater is accumulating because the drainage channel is blocked. Residents have requested prompt action.,DRAINAGE,MEDIUM
Residents are facing difficulty getting treatment at the public clinic. The issue has been reported by local residents.,HEALTHCARE,CRITICAL
A section of the roadway has developed large potholes. People in the locality are requesting a solution.,ROAD,HIGH
The streetlight pole near the junction is not illuminated.,STREETLIGHT,LOW
A large number of stray animals are gathering near the houses. People in the locality are requesting a solution.,ANIMAL_CONTROL,MEDIUM
Rainwater is accumulating because the drainage channel is blocked. Residents have requested prompt action.,DRAINAGE,MEDIUM
Students do not have adequate facilities in the public school. People in the locality are requesting a solution.,EDUCATION,LOW
The playground equipment in the public park is unsafe. Please arrange the necessary civic action.,PARKS,LOW
Residents are experiencing repeated power failures. The issue has been reported by local residents.,ELECTRICITY,HIGH
The area needs measures to reduce pollution and protect nature. Please arrange the necessary civic action.,ENVIRONMENT,MEDIUM
Traffic flow is heavily congested during office hours. Please arrange the necessary civic action.,TRAFFIC,HIGH
The drainage channel is blocked with silt and debris.,DRAINAGE,MEDIUM
Our government housing unit has serious structural damage. Please arrange the necessary civic action.,HOUSING,CRITICAL
The department has delayed my application without an explanation. People in the locality are requesting a solution.,GOVERNMENT_SERVICES,LOW
The children's playground in the park needs repairs. Residents have requested prompt action.,PARKS,LOW
The municipal street lights need repair. Please arrange the necessary civic action.,STREETLIGHT,LOW
The drainage channel is blocked with silt and debris.,DRAINAGE,MEDIUM
The local water connection needs urgent attention. Please arrange the necessary civic action.,WATER,MEDIUM
The area needs measures to reduce pollution and protect nature. Please arrange the necessary civic action.,ENVIRONMENT,MEDIUM
The public facility is difficult to access for wheelchair users. Residents have requested prompt action.,DISABILITY_ACCESS,MEDIUM
Residents are requesting better sanitation at the public restroom. Please arrange the necessary civic action.,PUBLIC_TOILETS,LOW
The residential housing complex requires repairs to its units.,HOUSING,HIGH
The local lake is being polluted by improper dumping. Residents have requested prompt action.,ENVIRONMENT,HIGH
Severe traffic congestion occurs at the junction every evening.,TRAFFIC,HIGH
The neighborhood park requires landscaping and repairs. The issue has been reported by local residents.,PARKS,MEDIUM
I need assistance with a local civic matter that does not match the available categories.,OTHER,LOW
Wheelchair users cannot enter the public facility because there is no ramp.,DISABILITY_ACCESS,MEDIUM
The municipal street lights need repair. Please arrange the necessary civic action.,STREETLIGHT,LOW
Tenants are requesting assistance with unsafe residential accommodation. The issue has been reported by local residents.,HOUSING,CRITICAL
The community restroom needs regular cleaning and maintenance. Residents have requested prompt action.,PUBLIC_TOILETS,MEDIUM
Waste bins are overflowing because collection has not occurred. People in the locality are requesting a solution.,WASTE,LOW
The public garden requires maintenance and cleaning. People in the locality are requesting a solution.,PARKS,MEDIUM
The asphalt surface of the main road is badly damaged. Residents have requested prompt action.,ROAD,HIGH
Severe traffic congestion occurs at the junction every evening.,TRAFFIC,HIGH
Passengers have to wait a long time for the public bus. Residents have requested prompt action.,PUBLIC_TRANSPORT,HIGH
The electricity supply keeps fluctuating in our locality. Residents have requested prompt action.,ELECTRICITY,MEDIUM
Industrial activity is causing pollution in the surrounding area.,ENVIRONMENT,HIGH
An accessible pathway is needed at the public service building. The issue has been reported by local residents.,DISABILITY_ACCESS,HIGH
Waste collection is irregular in our neighborhood. People in the locality are requesting a solution.,WASTE,MEDIUM
The community park needs maintenance of its walking paths.,PARKS,MEDIUM
Residents have reported a serious safety risk in the public place. The issue has been reported by local residents.,PUBLIC_SAFETY,CRITICAL
A major traffic jam forms near the signal every morning.,TRAFFIC,MEDIUM
The neighborhood park requires landscaping and repairs. The issue has been reported by local residents.,PARKS,MEDIUM
The public area is affected by excessive environmental pollution. The issue has been reported by local residents.,ENVIRONMENT,MEDIUM
Residents are requesting assistance with a miscellaneous civic matter. The issue has been reported by local residents.,OTHER,LOW
The classroom infrastructure at the school requires maintenance. The issue has been reported by local residents.,EDUCATION,MEDIUM
The road remains dark because the street lights are off. People in the locality are requesting a solution.,STREETLIGHT,MEDIUM
The public school requires improvements to its learning environment.,EDUCATION,LOW
The streetlight pole near the junction is not illuminated.,STREETLIGHT,LOW
The public school requires improvements to its learning environment. Residents have requested prompt action.,EDUCATION,LOW
The neighborhood needs action to protect the local environment. Please arrange the necessary civic action.,ENVIRONMENT,HIGH
The sewer drain needs cleaning to prevent overflow. Please arrange the necessary civic action.,DRAINAGE,MEDIUM
Peak hour traffic is causing long delays at the junction. People in the locality are requesting a solution.,TRAFFIC,HIGH
The public restroom has unhygienic facilities. People in the locality are requesting a solution.,PUBLIC_TOILETS,MEDIUM
Residents have reported a serious safety risk in the public place. The issue has been reported by local residents.,PUBLIC_SAFETY,CRITICAL
A damaged streetlight needs to be repaired. The issue has been reported by local residents.,STREETLIGHT,LOW
The public premises do not provide proper accessibility facilities. Please arrange the necessary civic action.,DISABILITY_ACCESS,HIGH
The street light near our house is not working at night.,STREETLIGHT,MEDIUM
Students are requesting repairs to school classrooms and educational facilities. Residents have requested prompt action.,EDUCATION,LOW
Residents are facing delays in treatment at the public hospital. The issue has been reported by local residents.,HEALTHCARE,HIGH
The area needs measures to reduce pollution and protect nature. Please arrange the necessary civic action.,ENVIRONMENT,MEDIUM
A large number of stray animals are gathering near the houses. People in the locality are requesting a solution.,ANIMAL_CONTROL,MEDIUM
The local intersection needs improved traffic control. Please arrange the necessary civic action.,TRAFFIC,MEDIUM
Residents need a properly maintained public restroom. Please arrange the necessary civic action.,PUBLIC_TOILETS,MEDIUM
The residential apartment has a leaking roof and damaged walls.,HOUSING,HIGH
Severe traffic congestion occurs at the junction every evening.,TRAFFIC,HIGH
The area needs measures to reduce pollution and protect nature. Please arrange the necessary civic action.,ENVIRONMENT,MEDIUM
Our government housing unit has serious structural damage. Please arrange the necessary civic action.,HOUSING,CRITICAL
People are concerned about personal safety in the isolated public space. Residents have requested prompt action.,PUBLIC_SAFETY,CRITICAL
The public garden requires maintenance and cleaning. People in the locality are requesting a solution.,PARKS,MEDIUM
The building needs accessible pathways for people with disabilities. The issue has been reported by local residents.,DISABILITY_ACCESS,MEDIUM
The public area has a security problem that needs immediate attention. Residents have requested prompt action.,PUBLIC_SAFETY,HIGH
The government office has not processed my submitted application.,GOVERNMENT_SERVICES,LOW
The public school requires improvements to its learning environment. Residents have requested prompt action.,EDUCATION,LOW
I need assistance with a local civic matter that does not match the available categories.,OTHER,LOW
The public hospital needs more doctors and nurses.,HEALTHCARE,CRITICAL
Vehicles are getting stuck in a traffic jam near the intersection. Residents have requested prompt action.,TRAFFIC,MEDIUM
The facility requires better disability access arrangements. Please arrange the necessary civic action.,DISABILITY_ACCESS,MEDIUM
Residents are facing difficulty getting treatment at the public clinic. The issue has been reported by local residents.,HEALTHCARE,CRITICAL
The road needs resurfacing because the asphalt has worn away.,ROAD,HIGH
The government health facility is short of medical staff. People in the locality are requesting a solution.,HEALTHCARE,CRITICAL
The government office has not processed my submitted application.,GOVERNMENT_SERVICES,LOW
The local power supply needs urgent attention. People in the locality are requesting a solution.,ELECTRICITY,MEDIUM
Large potholes are making the road difficult for vehicles to use.,ROAD,MEDIUM
Residents are requesting assistance with a miscellaneous civic matter. The issue has been reported by local residents.,OTHER,LOW
People are worried about their personal safety at the isolated location.,PUBLIC_SAFETY,CRITICAL
The pavement on our street has broken sections that need repair. The issue has been reported by local residents.,ROAD,HIGH
I need an update about a pending government application. The issue has been reported by local residents.,GOVERNMENT_SERVICES,MEDIUM
The community needs help controlling stray animal problems. The issue has been reported by local residents.,ANIMAL_CONTROL,HIGH
People feel unsafe because the public location is poorly monitored. The issue has been reported by local residents.,PUBLIC_SAFETY,HIGH
The local bus service is insufficient for daily commuters. People in the locality are requesting a solution.,PUBLIC_TRANSPORT,HIGH
The drainage line is overflowing near the houses. People in the locality are requesting a solution.,DRAINAGE,HIGH
The government clinic does not have enough doctors for patients.,HEALTHCARE,HIGH
Garbage has not been collected from our street for several days.,WASTE,MEDIUM
The lighting on our street is not functioning at night. People in the locality are requesting a solution.,STREETLIGHT,LOW
The municipal street lights need repair. Please arrange the necessary civic action.,STREETLIGHT,LOW
The main street has damaged asphalt and requires road maintenance. The issue has been reported by local residents.,ROAD,MEDIUM
The public washroom is unhygienic and requires attention. People in the locality are requesting a solution.,PUBLIC_TOILETS,LOW
A public safety concern has been reported by residents in the locality. Please arrange the necessary civic action.,PUBLIC_SAFETY,CRITICAL
Residents need a properly maintained public restroom. Please arrange the necessary civic action.,PUBLIC_TOILETS,MEDIUM
I need assistance with a local civic matter that does not match the available categories.,OTHER,LOW
The public school requires improvements to its learning environment. People in the locality are requesting a solution.,EDUCATION,LOW
Residents are concerned about animals roaming around the neighborhood. Please arrange the necessary civic action.,ANIMAL_CONTROL,MEDIUM
The local bus service is insufficient for daily commuters. People in the locality are requesting a solution.,PUBLIC_TRANSPORT,HIGH
The public restroom has unhygienic facilities. People in the locality are requesting a solution.,PUBLIC_TOILETS,MEDIUM
The local clinic needs better healthcare services for patients. Please arrange the necessary civic action.,HEALTHCARE,CRITICAL
The area needs measures to reduce pollution and protect nature. Please arrange the necessary civic action.,ENVIRONMENT,MEDIUM
Residents would like help with an issue not covered by the listed services. People in the locality are requesting a solution.,OTHER,LOW
The open drain is overflowing after rainfall. People in the locality are requesting a solution.,DRAINAGE,MEDIUM
Residents are facing delays in treatment at the public hospital. The issue has been reported by local residents.,HEALTHCARE,HIGH
Vehicles are getting stuck in a traffic jam near the intersection. Residents have requested prompt action.,TRAFFIC,MEDIUM
The local school needs more basic educational facilities. Please arrange the necessary civic action.,EDUCATION,LOW
Passengers have to wait a long time for the public bus. Residents have requested prompt action.,PUBLIC_TRANSPORT,HIGH
The sewer drain needs cleaning to prevent overflow. Please arrange the necessary civic action.,DRAINAGE,MEDIUM
The local school needs more basic educational facilities. Please arrange the necessary civic action.,EDUCATION,LOW
Smoke pollution is affecting the environment in our locality.,ENVIRONMENT,MEDIUM
Severe traffic congestion occurs at the junction every evening.,TRAFFIC,HIGH
A damaged road surface is causing problems for motorists in our area. Please arrange the necessary civic action.,ROAD,MEDIUM
Residents need a properly maintained public restroom. Please arrange the necessary civic action.,PUBLIC_TOILETS,MEDIUM
